input,time
0,0.0000
1,0.0000
2,0.0000
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0000
16,0.0000
17,0.0000
18,0.0000
19,0.0000
20,0.0000
21,0.0000
22,0.0000
23,0.0000
24,0.0000
25,0.0000
26,0.0000
27,0.0000
28,0.0000
29,0.0000
30,0.0000
31,0.0000
32,0.0000
33,0.0000
34,0.0000
35,0.0000
36,0.0000
37,0.0000
38,0.0000
39,0.0000
40,0.0000
41,0.0000
42,0.0000
43,0.0000
44,0.0000
45,0.0001
46,0.0001
47,0.0001
48,0.0001
49,0.0001
50,0.0001
51,0.0001
52,0.0001
53,0.0001
54,0.0001
55,0.0001
56,0.0001
57,0.0001
58,0.0001
59,0.0001
60,0.0002
61,0.0001
62,0.0001
63,0.0001
64,0.0001
65,0.0001
66,0.0001
67,0.0002
68,0.0002
69,0.0002
70,0.0002
71,0.0002
72,0.0002
73,0.0002
74,0.0002
75,0.0002
76,0.0002
77,0.0002
78,0.0002
79,0.0003
80,0.0003
81,0.0003
82,0.0003
83,0.0003
84,0.0003
85,0.0003
86,0.0003
87,0.0003
88,0.0003
89,0.0003
90,0.0004
91,0.0004
92,0.0004
93,0.0004
94,0.0004
95,0.0004
96,0.0004
97,0.0004
98,0.0005
99,0.0005
100,0.0005
