input,time
0,0.0000
1,0.0000
2,0.0000
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0000
16,0.0000
17,0.0000
18,0.0000
19,0.0000
20,0.0000
21,0.0000
22,0.0000
23,0.0000
24,0.0000
25,0.0000
26,0.0000
27,0.0000
28,0.0000
29,0.0000
30,0.0000
31,0.0000
32,0.0000
33,0.0000
34,0.0000
35,0.0000
36,0.0000
37,0.0000
38,0.0000
39,0.0000
40,0.0000
41,0.0000
42,0.0000
43,0.0000
44,0.0000
45,0.0000
46,0.0000
47,0.0000
48,0.0000
49,0.0000
50,0.0000
51,0.0000
52,0.0000
53,0.0000
54,0.0000
55,0.0000
56,0.0000
57,0.0000
58,0.0000
59,0.0000
60,0.0000
61,0.0000
62,0.0000
63,0.0000
64,0.0000
65,0.0000
66,0.0000
67,0.0000
68,0.0000
69,0.0000
70,0.0000
71,0.0000
72,0.0000
73,0.0000
74,0.0000
75,0.0000
76,0.0000
77,0.0000
78,0.0000
79,0.0000
80,0.0000
81,0.0000
82,0.0000
83,0.0000
84,0.0000
85,0.0000
86,0.0000
87,0.0000
88,0.0000
89,0.0000
90,0.0000
91,0.0000
92,0.0000
93,0.0000
94,0.0000
95,0.0000
96,0.0000
97,0.0000
98,0.0000
99,0.0000
100,0.0000
101,0.0000
102,0.0000
103,0.0000
104,0.0000
105,0.0000
106,0.0000
107,0.0001
108,0.0000
109,0.0000
110,0.0000
111,0.0000
112,0.0000
113,0.0000
114,0.0000
115,0.0000
116,0.0000
117,0.0000
118,0.0000
119,0.0000
120,0.0000
121,0.0000
122,0.0000
123,0.0000
124,0.0000
125,0.0000
126,0.0000
127,0.0000
128,0.0000
129,0.0000
130,0.0000
131,0.0000
132,0.0000
133,0.0000
134,0.0000
135,0.0000
136,0.0000
137,0.0000
138,0.0000
139,0.0000
140,0.0000
141,0.0000
142,0.0000
143,0.0000
144,0.0000
145,0.0000
146,0.0000
147,0.0000
148,0.0000
149,0.0000
150,0.0000
151,0.0000
152,0.0000
153,0.0000
154,0.0000
155,0.0000
156,0.0000
157,0.0000
158,0.0000
159,0.0000
160,0.0000
161,0.0000
162,0.0000
163,0.0000
164,0.0000
165,0.0000
166,0.0000
167,0.0001
168,0.0000
169,0.0000
170,0.0000
171,0.0000
172,0.0000
173,0.0001
174,0.0001
175,0.0001
176,0.0001
177,0.0001
178,0.0001
179,0.0001
180,0.0001
181,0.0001
182,0.0001
183,0.0001
184,0.0001
185,0.0001
186,0.0001
187,0.0001
188,0.0001
189,0.0001
190,0.0001
191,0.0001
192,0.0001
193,0.0001
194,0.0001
195,0.0001
196,0.0001
197,0.0001
198,0.0001
199,0.0001
200,0.0001
201,0.0001
202,0.0001
203,0.0001
204,0.0001
205,0.0001
206,0.0001
207,0.0001
208,0.0001
209,0.0001
210,0.0001
211,0.0001
212,0.0001
213,0.0001
214,0.0001
215,0.0001
216,0.0001
217,0.0001
218,0.0001
219,0.0001
220,0.0001
221,0.0001
222,0.0001
223,0.0001
224,0.0001
225,0.0001
226,0.0001
227,0.0001
228,0.0001
229,0.0001
230,0.0001
231,0.0001
232,0.0001
233,0.0001
234,0.0001
235,0.0001
236,0.0001
237,0.0001
238,0.0001
239,0.0001
240,0.0001
241,0.0001
242,0.0001
243,0.0001
244,0.0001
245,0.0001
246,0.0001
247,0.0001
248,0.0001
249,0.0001
250,0.0001
251,0.0001
252,0.0001
253,0.0001
254,0.0001
255,0.0001
256,0.0001
257,0.0001
258,0.0001
259,0.0001
260,0.0001
261,0.0001
262,0.0001
263,0.0001
264,0.0001
265,0.0001
266,0.0001
267,0.0001
268,0.0001
269,0.0001
270,0.0001
271,0.0001
272,0.0001
273,0.0001
274,0.0001
275,0.0001
276,0.0001
277,0.0001
278,0.0001
279,0.0001
280,0.0001
281,0.0001
282,0.0001
283,0.0001
284,0.0001
285,0.0001
286,0.0001
287,0.0001
288,0.0001
289,0.0001
290,0.0001
291,0.0001
292,0.0001
293,0.0001
294,0.0002
295,0.0002
296,0.0002
297,0.0002
298,0.0002
299,0.0002
300,0.0002
301,0.0002
302,0.0002
303,0.0002
304,0.0002
305,0.0002
306,0.0002
307,0.0002
308,0.0002
309,0.0002
310,0.0002
311,0.0002
312,0.0002
313,0.0002
314,0.0002
315,0.0002
316,0.0002
317,0.0002
318,0.0002
319,0.0002
320,0.0002
321,0.0002
322,0.0002
323,0.0002
324,0.0002
325,0.0002
326,0.0002
327,0.0002
328,0.0002
329,0.0002
330,0.0002
331,0.0002
332,0.0002
333,0.0002
334,0.0002
335,0.0002
336,0.0002
337,0.0002
338,0.0002
339,0.0002
340,0.0002
341,0.0002
342,0.0002
343,0.0002
344,0.0002
345,0.0002
346,0.0002
347,0.0002
348,0.0002
349,0.0002
350,0.0002
351,0.0002
352,0.0002
353,0.0002
354,0.0002
355,0.0002
356,0.0002
357,0.0002
358,0.0002
359,0.0002
360,0.0002
361,0.0002
362,0.0002
363,0.0002
364,0.0002
365,0.0002
366,0.0003
367,0.0002
368,0.0002
369,0.0002
370,0.0002
371,0.0002
372,0.0002
373,0.0002
374,0.0002
375,0.0003
376,0.0002
377,0.0002
378,0.0003
379,0.0003
380,0.0003
381,0.0003
382,0.0003
383,0.0003
384,0.0003
385,0.0003
386,0.0003
387,0.0003
388,0.0003
389,0.0003
390,0.0003
391,0.0003
392,0.0003
393,0.0003
394,0.0003
395,0.0003
396,0.0003
397,0.0003
398,0.0003
399,0.0003
400,0.0003
401,0.0003
402,0.0003
403,0.0003
404,0.0003
405,0.0003
406,0.0003
407,0.0003
408,0.0003
409,0.0003
410,0.0003
411,0.0003
412,0.0003
413,0.0003
414,0.0003
415,0.0003
416,0.0003
417,0.0003
418,0.0003
419,0.0003
420,0.0003
421,0.0003
422,0.0003
423,0.0003
424,0.0003
425,0.0003
426,0.0003
427,0.0003
428,0.0003
429,0.0003
430,0.0003
431,0.0003
432,0.0003
433,0.0003
434,0.0003
435,0.0003
436,0.0003
437,0.0003
438,0.0003
439,0.0003
440,0.0003
441,0.0003
442,0.0003
443,0.0003
444,0.0003
445,0.0003
446,0.0003
447,0.0004
448,0.0004
449,0.0004
450,0.0004
451,0.0004
452,0.0004
453,0.0004
454,0.0004
455,0.0004
456,0.0004
457,0.0004
458,0.0004
459,0.0004
460,0.0004
461,0.0004
462,0.0004
463,0.0004
464,0.0004
465,0.0004
466,0.0004
467,0.0004
468,0.0004
469,0.0004
470,0.0004
471,0.0004
472,0.0004
473,0.0004
474,0.0004
475,0.0004
476,0.0004
477,0.0004
478,0.0004
479,0.0004
480,0.0004
481,0.0004
482,0.0004
483,0.0004
484,0.0004
485,0.0004
486,0.0004
487,0.0004
488,0.0004
489,0.0004
490,0.0004
491,0.0004
492,0.0004
493,0.0004
494,0.0004
495,0.0004
496,0.0004
497,0.0004
498,0.0004
499,0.0004
500,0.0004
501,0.0004
502,0.0004
503,0.0004
504,0.0004
505,0.0004
506,0.0005
507,0.0005
508,0.0005
509,0.0005
510,0.0005
511,0.0005
512,0.0005
513,0.0005
514,0.0005
515,0.0005
516,0.0005
517,0.0005
518,0.0005
519,0.0005
520,0.0005
521,0.0005
522,0.0005
523,0.0005
524,0.0005
525,0.0005
526,0.0005
527,0.0005
528,0.0005
529,0.0005
530,0.0005
531,0.0005
532,0.0005
533,0.0005
534,0.0005
535,0.0005
536,0.0005
537,0.0005
538,0.0006
539,0.0006
540,0.0006
541,0.0006
542,0.0006
543,0.0006
544,0.0005
545,0.0005
546,0.0005
547,0.0005
548,0.0005
549,0.0005
550,0.0005
551,0.0005
552,0.0005
553,0.0005
554,0.0005
555,0.0005
556,0.0006
557,0.0005
558,0.0006
559,0.0006
560,0.0006
561,0.0006
562,0.0006
563,0.0006
564,0.0006
565,0.0006
566,0.0006
567,0.0006
568,0.0006
569,0.0006
570,0.0006
571,0.0006
572,0.0006
573,0.0006
574,0.0006
575,0.0006
576,0.0006
577,0.0006
578,0.0006
579,0.0006
580,0.0006
581,0.0006
582,0.0006
583,0.0006
584,0.0006
585,0.0006
586,0.0006
587,0.0007
588,0.0006
589,0.0006
590,0.0006
591,0.0006
592,0.0006
593,0.0006
594,0.0006
595,0.0006
596,0.0006
597,0.0006
598,0.0006
599,0.0006
600,0.0006
601,0.0006
602,0.0006
603,0.0006
604,0.0006
605,0.0006
606,0.0007
607,0.0007
608,0.0007
609,0.0007
610,0.0007
611,0.0007
612,0.0007
613,0.0007
614,0.0007
615,0.0007
616,0.0007
617,0.0007
618,0.0007
619,0.0007
620,0.0007
621,0.0007
622,0.0007
623,0.0007
624,0.0007
625,0.0007
626,0.0007
627,0.0007
628,0.0007
629,0.0007
630,0.0007
631,0.0007
632,0.0007
633,0.0007
634,0.0007
635,0.0007
636,0.0007
637,0.0007
638,0.0007
639,0.0007
640,0.0008
641,0.0007
642,0.0007
643,0.0007
644,0.0007
645,0.0008
646,0.0008
647,0.0007
648,0.0007
649,0.0007
650,0.0008
651,0.0008
652,0.0008
653,0.0008
654,0.0008
