input,time
0,0.0000
1,0.0000
2,0.0000
3,0.0000
4,0.0000
5,0.0000
6,0.0000
7,0.0000
8,0.0000
9,0.0000
10,0.0000
11,0.0000
12,0.0000
13,0.0000
14,0.0000
15,0.0000
16,0.0000
17,0.0000
18,0.0000
19,0.0000
20,0.0000
21,0.0000
22,0.0000
23,0.0000
24,0.0000
25,0.0000
26,0.0000
27,0.0000
28,0.0000
29,0.0000
30,0.0000
31,0.0000
32,0.0000
33,0.0000
34,0.0000
35,0.0000
36,0.0000
37,0.0000
38,0.0000
39,0.0000
40,0.0000
41,0.0000
42,0.0000
43,0.0000
44,0.0000
45,0.0000
46,0.0001
47,0.0001
48,0.0001
49,0.0001
50,0.0001
51,0.0001
52,0.0001
53,0.0001
54,0.0001
55,0.0001
56,0.0001
57,0.0001
58,0.0001
59,0.0001
60,0.0001
61,0.0001
62,0.0001
63,0.0001
64,0.0001
65,0.0001
66,0.0001
67,0.0002
68,0.0002
69,0.0002
70,0.0002
71,0.0002
72,0.0002
73,0.0002
74,0.0002
75,0.0002
76,0.0002
77,0.0002
78,0.0002
79,0.0002
80,0.0003
81,0.0003
82,0.0003
83,0.0003
84,0.0003
85,0.0003
86,0.0003
87,0.0003
88,0.0003
89,0.0003
90,0.0004
91,0.0004
92,0.0004
93,0.0004
94,0.0004
95,0.0004
96,0.0004
97,0.0004
98,0.0004
99,0.0005
100,0.0005
101,0.0005
102,0.0005
103,0.0005
104,0.0005
105,0.0005
106,0.0006
107,0.0006
108,0.0006
109,0.0006
110,0.0006
111,0.0006
112,0.0007
113,0.0007
114,0.0007
115,0.0007
116,0.0007
117,0.0007
118,0.0008
119,0.0008
120,0.0008
121,0.0008
122,0.0009
123,0.0009
124,0.0009
125,0.0009
126,0.0009
127,0.0010
128,0.0010
129,0.0010
130,0.0010
131,0.0010
132,0.0011
133,0.0011
134,0.0011
135,0.0011
136,0.0012
137,0.0012
138,0.0012
139,0.0012
140,0.0013
141,0.0013
142,0.0013
143,0.0013
144,0.0014
145,0.0014
146,0.0014
147,0.0015
148,0.0015
149,0.0015
150,0.0016
151,0.0016
152,0.0016
153,0.0017
154,0.0017
155,0.0017
156,0.0018
157,0.0018
158,0.0018
159,0.0018
160,0.0018
161,0.0019
162,0.0019
163,0.0020
164,0.0020
165,0.0020
166,0.0021
167,0.0021
168,0.0021
169,0.0022
170,0.0022
171,0.0023
172,0.0023
173,0.0023
174,0.0024
175,0.0024
176,0.0025
177,0.0026
178,0.0026
179,0.0028
180,0.0029
181,0.0041
182,0.0031
183,0.0028
184,0.0028
185,0.0028
186,0.0029
187,0.0029
188,0.0030
189,0.0031
190,0.0031
191,0.0031
192,0.0032
193,0.0032
194,0.0033
195,0.0033
196,0.0033
197,0.0034
198,0.0034
199,0.0035
200,0.0035
201,0.0036
202,0.0036
203,0.0037
204,0.0037
205,0.0038
206,0.0038
207,0.0039
208,0.0040
209,0.0040
210,0.0041
211,0.0041
212,0.0042
213,0.0043
214,0.0043
215,0.0044
216,0.0044
217,0.0045
218,0.0046
219,0.0046
220,0.0047
221,0.0047
222,0.0048
223,0.0049
224,0.0049
225,0.0050
226,0.0051
227,0.0051
228,0.0052
229,0.0053
230,0.0053
231,0.0054
232,0.0055
233,0.0055
234,0.0056
235,0.0057
236,0.0057
237,0.0058
238,0.0059
239,0.0059
240,0.0060
241,0.0062
242,0.0065
243,0.0063
244,0.0063
245,0.0065
246,0.0066
247,0.0066
248,0.0067
249,0.0067
250,0.0068
251,0.0069
252,0.0070
253,0.0071
254,0.0071
255,0.0072
256,0.0073
257,0.0074
258,0.0075
259,0.0081
260,0.0090
261,0.0097
262,0.0089
263,0.0079
264,0.0080
265,0.0080
266,0.0081
267,0.0082
268,0.0101
269,0.0084
270,0.0085
271,0.0086
272,0.0087
273,0.0088
274,0.0089
275,0.0092
276,0.0091
277,0.0092
278,0.0093
279,0.0094
280,0.0095
281,0.0096
282,0.0097
283,0.0098
284,0.0102
285,0.0100
286,0.0101
287,0.0102
288,0.0103
289,0.0104
290,0.0105
291,0.0106
292,0.0107
293,0.0108
294,0.0109
295,0.0111
296,0.0111
297,0.0112
298,0.0114
299,0.0115
300,0.0116
301,0.0117
302,0.0118
303,0.0119
304,0.0125
305,0.0123
306,0.0123
307,0.0124
308,0.0125
309,0.0126
310,0.0127
311,0.0129
312,0.0130
313,0.0132
314,0.0132
315,0.0134
316,0.0135
317,0.0136
318,0.0137
319,0.0140
320,0.0140
321,0.0142
322,0.0143
323,0.0145
324,0.0145
325,0.0147
326,0.0148
327,0.0149
328,0.0151
329,0.0153
330,0.0154
331,0.0155
332,0.0156
333,0.0158
334,0.0159
335,0.0160
336,0.0162
337,0.0163
338,0.0164
339,0.0166
340,0.0168
341,0.0177
342,0.0181
343,0.0171
344,0.0173
345,0.0175
346,0.0176
347,0.0177
348,0.0179
349,0.0180
350,0.0186
351,0.0185
352,0.0185
353,0.0189
354,0.0189
355,0.0193
356,0.0193
357,0.0193
358,0.0195
359,0.0206
360,0.0198
361,0.0200
362,0.0214
363,0.0222
364,0.0204
365,0.0206
366,0.0225
367,0.0216
368,0.0211
369,0.0213
370,0.0230
371,0.0217
372,0.0218
373,0.0220
374,0.0221
375,0.0224
376,0.0225
377,0.0227
378,0.0229
379,0.0231
380,0.0233
381,0.0234
382,0.0236
383,0.0238
384,0.0240
385,0.0242
386,0.0243
387,0.0245
388,0.0249
389,0.0249
390,0.0252
391,0.0253
392,0.0256
393,0.0256
394,0.0263
395,0.0262
396,0.0262
397,0.0266
398,0.0271
399,0.0270
400,0.0270
401,0.0272
402,0.0274
403,0.0277
404,0.0278
405,0.0280
406,0.0301
407,0.0284
408,0.0287
409,0.0289
410,0.0291
411,0.0292
412,0.0294
413,0.0298
414,0.0299
415,0.0301
416,0.0303
417,0.0307
418,0.0308
419,0.0309
420,0.0314
421,0.0316
422,0.0325
423,0.0319
424,0.0321
425,0.0323
426,0.0326
427,0.0327
428,0.0330
429,0.0333
430,0.0334
431,0.0336
432,0.0340
433,0.0341
434,0.0345
435,0.0347
436,0.0350
437,0.0364
438,0.0365
439,0.0357
440,0.0406
441,0.0360
442,0.0363
443,0.0365
444,0.0367
445,0.0370
446,0.0372
447,0.0375
448,0.0377
449,0.0380
450,0.0382
451,0.0385
452,0.0387
453,0.0391
454,0.0396
455,0.0398
456,0.0399
457,0.0401
458,0.0403
459,0.0413
460,0.0408
461,0.0411
462,0.0432
463,0.0416
464,0.0422
465,0.0480
466,0.0424
467,0.0429
468,0.0447
469,0.0465
470,0.0435
471,0.0437
472,0.0443
473,0.0446
474,0.0449
475,0.0452
476,0.0455
477,0.0459
478,0.0458
479,0.0463
480,0.0464
481,0.0467
482,0.0471
483,0.0473
484,0.0479
485,0.0482
486,0.0481
487,0.0484
488,0.0490
489,0.0491
490,0.0494
491,0.0499
492,0.0498
493,0.0506
494,0.0509
495,0.0510
496,0.0514
497,0.0517
498,0.0518
499,0.0523
500,0.0526
